[2026-02-26T10:10:20.949046] 数据桥接服务启动
扫描目录: /root/.openclaw/agents/main/sessions/
输出目录: /root/.openclaw/workspace/agent-dashboard-public/data/
[2026-02-26T10:27:30.368921] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:33.370038] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:36.371523] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:39.372663] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:42.374162] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:45.375272] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:48.376402] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:51.377537] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:54.378674] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:57.379829] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:00.381351] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:03.382553] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:06.384233] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:09.385368] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:12.386526] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:15.387657] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:18.388833] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:21.390068] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:24.391290] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:27.392490] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:30.393706] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:33.394886] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:36.396573] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:39.397744] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:42.399400] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:45.400523] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:48.401662] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:51.402804] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:54.403973] 更新完成: 22 sessions, 0 active
[2026-02-26T10:28:57.405185] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:00.406680] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:03.407897] 更新完成: 22 sessions, 0 active
